area_fips,own_code,industry_code,agglvl_code,size_code,year,qtr,disclosure_code,qtrly_estabs,month1_emplvl,month2_emplvl,month3_emplvl,total_qtrly_wages,taxable_qtrly_wages,qtrly_contributions,avg_wkly_wage,lq_disclosure_code,lq_qtrly_estabs,lq_month1_emplvl,lq_month2_emplvl,lq_month3_emplvl,lq_total_qtrly_wages,lq_taxable_qtrly_wages,lq_qtrly_contributions,lq_avg_wkly_wage,oty_disclosure_code,oty_qtrly_estabs_chg,oty_qtrly_estabs_pct_chg,oty_month1_emplvl_chg,oty_month1_emplvl_pct_chg,oty_month2_emplvl_chg,oty_month2_emplvl_pct_chg,oty_month3_emplvl_chg,oty_month3_emplvl_pct_chg,oty_total_qtrly_wages_chg,oty_total_qtrly_wages_pct_chg,oty_taxable_qtrly_wages_chg,oty_taxable_qtrly_wages_pct_chg,oty_qtrly_contributions_chg,oty_qtrly_contributions_pct_chg,oty_avg_wkly_wage_chg,oty_avg_wkly_wage_pct_chg
39041,0,10,70,0,2020,4,,6020,86721,86975,86607,1392575938,79038923,1451082,1235,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,329,5.8,-4056,-4.5,-3458,-3.8,-3730,-4.1,88673466,6.8,-2197285,-2.7,-143213,-9.0,127,11.5
39041,1,10,71,0,2020,4,,16,279,248,252,4339044,0,0,1285,,0.46,0.15,0.14,0.14,0.11,0.0,0.0,0.77,,0,0.0,32,13.0,4,1.6,7,2.9,295006,7.3,0,0.0,0,0.0,17,1.3
39041,1,102,72,0,2020,4,,16,279,248,252,4339044,0,0,1285,,0.46,0.15,0.14,0.14,0.11,0.0,0.0,0.77,,0,0.0,32,13.0,4,1.6,7,2.9,295006,7.3,0,0.0,0,0.0,17,1.3
39041,1,1021,73,0,2020,4,,9,194,199,202,3263732,0,0,1266,,0.53,0.47,0.47,0.47,0.47,0.0,0.0,0.98,,0,0.0,-2,-1.0,-2,-1.0,2,1.0,113343,3.6,0,0.0,0,0.0,48,3.9
39041,1,1024,73,0,2020,4,,1,13,13,12,207551,0,0,1260,,1.21,0.3,0.3,0.28,0.21,0.0,0.0,0.71,,0,0.0,2,18.2,3,30.0,3,33.3,76513,58.4,0,0.0,0,0.0,252,25.0
39041,1,1028,73,0,2020,4,,6,72,36,38,867761,0,0,1372,,0.42,0.07,0.04,0.04,0.04,0.0,0.0,0.75,,0,0.0,32,80.0,3,9.1,2,5.6,105150,13.8,0,0.0,0,0.0,-243,-15.0
39041,1,48-49,74,0,2020,4,,9,194,199,202,3263732,0,0,1266,,0.54,0.51,0.52,0.52,0.5,0.0,0.0,0.98,,0,0.0,-2,-1.0,-2,-1.0,2,1.0,113343,3.6,0,0.0,0,0.0,48,3.9
39041,1,491,75,0,2020,4,,9,194,199,202,3263732,0,0,1266,,0.55,0.52,0.53,0.53,0.52,0.0,0.0,0.99,,0,0.0,-2,-1.0,-2,-1.0,2,1.0,113343,3.6,0,0.0,0,0.0,48,3.9
39041,1,4911,76,0,2020,4,,9,194,199,202,3263732,0,0,1266,,0.55,0.52,0.53,0.53,0.52,0.0,0.0,0.99,,0,0.0,-2,-1.0,-2,-1.0,2,1.0,113343,3.6,0,0.0,0,0.0,48,3.9
39041,1,49111,77,0,2020,4,,9,194,199,202,3263732,0,0,1266,,0.55,0.52,0.53,0.53,0.52,0.0,0.0,0.99,,0,0.0,-2,-1.0,-2,-1.0,2,1.0,113343,3.6,0,0.0,0,0.0,48,3.9
39041,1,491110,78,0,2020,4,,9,194,199,202,3263732,0,0,1266,,0.55,0.52,0.53,0.53,0.52,0.0,0.0,0.99,,0,0.0,-2,-1.0,-2,-1.0,2,1.0,113343,3.6,0,0.0,0,0.0,48,3.9
39041,1,54,74,0,2020,4,,1,13,13,12,207551,0,0,1260,,1.36,0.31,0.31,0.29,0.21,0.0,0.0,0.7,,0,0.0,2,18.2,3,30.0,3,33.3,76513,58.4,0,0.0,0,0.0,252,25.0
39041,1,541,75,0,2020,4,,1,13,13,12,207551,0,0,1260,,1.36,0.31,0.31,0.29,0.21,0.0,0.0,0.7,,0,0.0,2,18.2,3,30.0,3,33.3,76513,58.4,0,0.0,0,0.0,252,25.0
39041,1,5413,76,0,2020,4,,1,13,13,12,207551,0,0,1260,,2.24,0.39,0.39,0.36,0.28,0.0,0.0,0.74,,0,0.0,2,18.2,3,30.0,3,33.3,76513,58.4,0,0.0,0,0.0,252,25.0
39041,1,54133,77,0,2020,4,,1,13,13,12,207551,0,0,1260,,2.25,0.41,0.41,0.38,0.29,0.0,0.0,0.73,,0,0.0,2,18.2,3,30.0,3,33.3,76513,58.4,0,0.0,0,0.0,252,25.0
39041,1,541330,78,0,2020,4,,1,13,13,12,207551,0,0,1260,,2.25,0.41,0.41,0.38,0.29,0.0,0.0,0.73,,0,0.0,2,18.2,3,30.0,3,33.3,76513,58.4,0,0.0,0,0.0,252,25.0
