area_fips,own_code,industry_code,agglvl_code,size_code,year,qtr,disclosure_code,qtrly_estabs,month1_emplvl,month2_emplvl,month3_emplvl,total_qtrly_wages,taxable_qtrly_wages,qtrly_contributions,avg_wkly_wage,lq_disclosure_code,lq_qtrly_estabs,lq_month1_emplvl,lq_month2_emplvl,lq_month3_emplvl,lq_total_qtrly_wages,lq_taxable_qtrly_wages,lq_qtrly_contributions,lq_avg_wkly_wage,oty_disclosure_code,oty_qtrly_estabs_chg,oty_qtrly_estabs_pct_chg,oty_month1_emplvl_chg,oty_month1_emplvl_pct_chg,oty_month2_emplvl_chg,oty_month2_emplvl_pct_chg,oty_month3_emplvl_chg,oty_month3_emplvl_pct_chg,oty_total_qtrly_wages_chg,oty_total_qtrly_wages_pct_chg,oty_taxable_qtrly_wages_chg,oty_taxable_qtrly_wages_pct_chg,oty_qtrly_contributions_chg,oty_qtrly_contributions_pct_chg,oty_avg_wkly_wage_chg,oty_avg_wkly_wage_pct_chg
39073,0,10,70,0,2020,3,,566,6717,6779,6652,57178790,8185786,181851,655,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,13,2.4,44,0.7,-28,-0.4,76,1.2,3045842,5.6,1292087,18.7,33691,22.7,32,5.1
39073,1,10,71,0,2020,3,,8,48,65,59,565269,0,0,758,,2.42,0.33,0.42,0.39,0.34,0.0,0.0,0.9,,-1,-11.1,5,11.6,13,25.0,9,18.0,52004,10.1,0,0.0,0,0.0,-59,-7.2
39073,1,102,72,0,2020,3,,8,48,65,59,565269,0,0,758,,2.43,0.34,0.42,0.4,0.35,0.0,0.0,0.9,,-1,-11.1,5,11.6,13,25.0,9,18.0,52004,10.1,0,0.0,0,0.0,-59,-7.2
39073,1,1021,73,0,2020,3,,7,45,45,45,493780,0,0,844,,4.29,1.37,1.36,1.4,1.8,0.0,0.0,1.31,,0,0.0,2,4.7,-2,-4.3,-1,-2.2,-3402,-0.7,0,0.0,0,0.0,0,0.0
39073,1,1028,73,0,2020,3,,1,3,20,14,71489,0,0,446,,0.73,0.04,0.22,0.16,0.07,0.0,0.0,0.49,,-1,-50.0,3,100.0,15,300.0,10,250.0,55406,344.5,0,0.0,0,0.0,34,8.3
39073,1,48-49,74,0,2020,3,,7,45,45,45,493780,0,0,844,,4.41,1.49,1.49,1.53,1.95,0.0,0.0,1.3,,0,0.0,2,4.7,-2,-4.3,-1,-2.2,-3402,-0.7,0,0.0,0,0.0,0,0.0
39073,1,491,75,0,2020,3,,7,45,45,45,493780,0,0,844,,4.44,1.53,1.52,1.56,2.03,0.0,0.0,1.32,,0,0.0,2,4.7,-2,-4.3,-1,-2.2,-3402,-0.7,0,0.0,0,0.0,0,0.0
39073,1,4911,76,0,2020,3,,7,45,45,45,493780,0,0,844,,4.44,1.53,1.52,1.56,2.03,0.0,0.0,1.32,,0,0.0,2,4.7,-2,-4.3,-1,-2.2,-3402,-0.7,0,0.0,0,0.0,0,0.0
39073,1,49111,77,0,2020,3,,7,45,45,45,493780,0,0,844,,4.44,1.53,1.52,1.56,2.03,0.0,0.0,1.32,,0,0.0,2,4.7,-2,-4.3,-1,-2.2,-3402,-0.7,0,0.0,0,0.0,0,0.0
39073,1,491110,78,0,2020,3,,7,45,45,45,493780,0,0,844,,4.44,1.53,1.52,1.56,2.03,0.0,0.0,1.32,,0,0.0,2,4.7,-2,-4.3,-1,-2.2,-3402,-0.7,0,0.0,0,0.0,0,0.0
39073,1,92,74,0,2020,3,,1,3,20,14,71489,0,0,446,,0.73,0.04,0.22,0.16,0.07,0.0,0.0,0.49,,-1,-50.0,3,100.0,15,300.0,10,250.0,55406,344.5,0,0.0,0,0.0,34,8.3
39073,1,926,75,0,2020,3,,1,3,20,14,71489,0,0,446,,1.8,0.2,0.76,0.59,0.39,0.0,0.0,0.68,,0,0.0,3,100.0,15,300.0,10,250.0,59020,473.3,0,0.0,0,0.0,126,39.4
39073,1,9261,76,0,2020,3,,1,3,20,14,71489,0,0,446,,1.8,0.2,0.76,0.59,0.39,0.0,0.0,0.68,,0,0.0,3,100.0,15,300.0,10,250.0,59020,473.3,0,0.0,0,0.0,126,39.4
39073,1,92611,77,0,2020,3,,1,3,20,14,71489,0,0,446,,3.91,0.6,1.19,0.98,1.12,0.0,0.0,1.1,,0,0.0,3,100.0,15,300.0,10,250.0,59020,473.3,0,0.0,0,0.0,126,39.4
39073,1,926110,78,0,2020,3,,1,3,20,14,71489,0,0,446,,3.91,0.6,1.19,0.98,1.12,0.0,0.0,1.1,,0,0.0,3,100.0,15,300.0,10,250.0,59020,473.3,0,0.0,0,0.0,126,39.4
39073,2,10,71,0,2020,3,,10,176,173,176,2860513,0,0,1257,,2.65,0.79,0.78,0.8,1.38,0.0,0.0,1.75,,0,0.0,-23,-11.6,-25,-12.6,-14,-7.4,-101677,-3.4,0,0.0,0,0.0,92,7.9
39073,2,102,72,0,2020,3,,10,176,173,176,2860513,0,0,1257,,2.72,0.8,0.79,0.82,1.4,0.0,0.0,1.75,,0,0.0,-23,-11.6,-25,-12.6,-14,-7.4,-101677,-3.4,0,0.0,0,0.0,92,7.9
